사업구분명,단위사업중분류명,m,count
CB/IECEx인증,IECEE-CB인증시험,1,1613
CB/IECEx인증,IECEE-CB인증시험,2,1248
CB/IECEx인증,IECEE-CB인증시험,3,1421
CB/IECEx인증,IECEE-CB인증시험,4,1340
CB/IECEx인증,IECEE-CB인증시험,5,1097
CB/IECEx인증,IECEE-CB인증시험,6,1459
CB/IECEx인증,IECEE-CB인증시험,7,1651
CB/IECEx인증,IECEE-CB인증시험,8,1390
CB/IECEx인증,IECEE-CB인증시험,9,1567
CB/IECEx인증,IECEE-CB인증시험,10,1304
CB/IECEx인증,IECEE-CB인증시험,11,1479
CB/IECEx인증,IECEE-CB인증시험,12,2400
CB/IECEx인증,디지털산업 일반시험,10,1
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,4,1
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,10,1
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,11,1
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,12,1
CB/IECEx인증,전기용품안전인증(KC)시험,3,1
GMP,의료기기인허가 품질경영(GMP),1,4
GMP,의료기기인허가 품질경영(GMP),2,16
GMP,의료기기인허가 품질경영(GMP),3,15
GMP,의료기기인허가 품질경영(GMP),4,30
GMP,의료기기인허가 품질경영(GMP),5,40
GMP,의료기기인허가 품질경영(GMP),6,45
GMP,의료기기인허가 품질경영(GMP),7,52
GMP,의료기기인허가 품질경영(GMP),8,36
GMP,의료기기인허가 품질경영(GMP),9,32
공산품안전인증,공산품안전인증시험,1,330
공산품안전인증,공산품안전인증시험,2,169
공산품안전인증,공산품안전인증시험,3,338
공산품안전인증,공산품안전인증시험,4,195
공산품안전인증,공산품안전인증시험,5,227
공산품안전인증,공산품안전인증시험,6,266
공산품안전인증,공산품안전인증시험,7,404
공산품안전인증,공산품안전인증시험,8,436
공산품안전인증,공산품안전인증시험,9,279
공산품안전인증,공산품안전인증시험,10,263
공산품안전인증,공산품안전인증시험,11,261
공산품안전인증,공산품안전인증시험,12,286
공산품안전인증,디지털산업 일반시험,1,1
기간산업,KTL마크인증,1,7
기간산업,KTL마크인증,2,16
기간산업,KTL마크인증,3,7
기간산업,KTL마크인증,4,12
기간산업,KTL마크인증,5,1
기간산업,KTL마크인증,6,3
기간산업,KTL마크인증,7,7
기간산업,KTL마크인증,8,11
기간산업,KTL마크인증,9,8
기간산업,KTL마크인증,10,19
기간산업,KTL마크인증,11,26
기간산업,KTL마크인증,12,39
기간산업,K마크 시험,1,2
기간산업,SW시험인증,1,163
기간산업,SW시험인증,2,117
기간산업,SW시험인증,3,150
기간산업,SW시험인증,4,186
기간산업,SW시험인증,5,130
기간산업,SW시험인증,6,198
기간산업,SW시험인증,7,181
기간산업,SW시험인증,8,161
기간산업,SW시험인증,9,197
기간산업,SW시험인증,10,214
기간산업,SW시험인증,11,299
기간산업,SW시험인증,12,359
기간산업,공항시설,3,1
기간산업,공항시설,5,1
기간산업,공항시설,8,2
기간산업,공항시설,9,2
기간산업,공항시설,12,3
기간산업,기계일반시험,1,330
기간산업,기계일반시험,2,325
기간산업,기계일반시험,3,296
기간산업,기계일반시험,4,304
기간산업,기계일반시험,5,273
기간산업,기계일반시험,6,374
기간산업,기계일반시험,7,363
기간산업,기계일반시험,8,335
기간산업,기계일반시험,9,214
기간산업,기계일반시험,10,291
기간산업,기계일반시험,11,518
기간산업,기계일반시험,12,595
기간산업,기술교육,2,1
기간산업,기술교육,5,146
기간산업,기술교육,6,1
기간산업,기술교육,8,210
기간산업,기술교육,9,1
기간산업,기술교육,11,66
