사업구분명,ym,count
CB/IECEx인증,2012-05,23
CB/IECEx인증,2012-06,116
CB/IECEx인증,2012-07,123
CB/IECEx인증,2012-08,200
CB/IECEx인증,2012-09,154
CB/IECEx인증,2012-10,118
CB/IECEx인증,2012-11,112
CB/IECEx인증,2012-12,144
CB/IECEx인증,2013-01,193
CB/IECEx인증,2013-02,129
CB/IECEx인증,2013-03,162
CB/IECEx인증,2013-04,100
CB/IECEx인증,2013-05,57
CB/IECEx인증,2013-06,83
CB/IECEx인증,2013-07,188
CB/IECEx인증,2013-08,125
CB/IECEx인증,2013-09,83
CB/IECEx인증,2013-10,100
CB/IECEx인증,2013-11,190
CB/IECEx인증,2013-12,245
CB/IECEx인증,2014-01,143
CB/IECEx인증,2014-02,193
CB/IECEx인증,2014-03,109
CB/IECEx인증,2014-04,111
CB/IECEx인증,2014-05,98
CB/IECEx인증,2014-06,192
CB/IECEx인증,2014-07,152
CB/IECEx인증,2014-08,124
CB/IECEx인증,2014-09,175
CB/IECEx인증,2014-10,104
CB/IECEx인증,2014-11,105
CB/IECEx인증,2014-12,384
CB/IECEx인증,2015-01,131
CB/IECEx인증,2015-02,139
CB/IECEx인증,2015-03,167
CB/IECEx인증,2015-04,197
CB/IECEx인증,2015-05,115
CB/IECEx인증,2015-06,167
CB/IECEx인증,2015-07,177
CB/IECEx인증,2015-08,103
CB/IECEx인증,2015-09,156
CB/IECEx인증,2015-10,76
CB/IECEx인증,2015-11,81
CB/IECEx인증,2015-12,297
CB/IECEx인증,2016-01,310
CB/IECEx인증,2016-02,120
CB/IECEx인증,2016-03,203
CB/IECEx인증,2016-04,150
CB/IECEx인증,2016-05,122
CB/IECEx인증,2016-06,133
CB/IECEx인증,2016-07,172
CB/IECEx인증,2016-08,95
CB/IECEx인증,2016-09,95
CB/IECEx인증,2016-10,220
CB/IECEx인증,2016-11,134
CB/IECEx인증,2016-12,510
CB/IECEx인증,2017-01,94
CB/IECEx인증,2017-02,90
CB/IECEx인증,2017-03,91
CB/IECEx인증,2017-04,104
CB/IECEx인증,2017-05,87
CB/IECEx인증,2017-06,104
CB/IECEx인증,2017-07,54
CB/IECEx인증,2017-08,56
CB/IECEx인증,2017-09,102
CB/IECEx인증,2017-10,72
CB/IECEx인증,2017-11,151
CB/IECEx인증,2017-12,55
CB/IECEx인증,2018-01,95
CB/IECEx인증,2018-02,82
CB/IECEx인증,2018-03,111
CB/IECEx인증,2018-04,81
CB/IECEx인증,2018-05,108
CB/IECEx인증,2018-06,99
CB/IECEx인증,2018-07,128
CB/IECEx인증,2018-08,80
CB/IECEx인증,2018-09,95
CB/IECEx인증,2018-10,118
CB/IECEx인증,2018-11,138
CB/IECEx인증,2018-12,141
CB/IECEx인증,2019-01,139
CB/IECEx인증,2019-02,99
CB/IECEx인증,2019-03,145
CB/IECEx인증,2019-04,133
CB/IECEx인증,2019-05,123
CB/IECEx인증,2019-06,115
CB/IECEx인증,2019-07,206
CB/IECEx인증,2019-08,145
CB/IECEx인증,2019-09,171
CB/IECEx인증,2019-10,97
CB/IECEx인증,2019-11,142
CB/IECEx인증,2019-12,194
CB/IECEx인증,2020-01,160
CB/IECEx인증,2020-02,100
CB/IECEx인증,2020-03,182
CB/IECEx인증,2020-04,158
CB/IECEx인증,2020-05,105
CB/IECEx인증,2020-06,153
CB/IECEx인증,2020-07,160
CB/IECEx인증,2020-08,114
CB/IECEx인증,2020-09,226
CB/IECEx인증,2020-10,123
CB/IECEx인증,2020-11,135
CB/IECEx인증,2020-12,177
CB/IECEx인증,2021-01,134
CB/IECEx인증,2021-02,138
CB/IECEx인증,2021-03,118
CB/IECEx인증,2021-04,162
CB/IECEx인증,2021-05,143
CB/IECEx인증,2021-06,138
CB/IECEx인증,2021-07,161
CB/IECEx인증,2021-08,149
