사업구분명,단위사업중분류명,단위사업소분류명,count,mean,median,std
CB/IECEx인증,IECEE-CB인증시험,CB 유해물질시험,12,12.83,13.0,6.38
CB/IECEx인증,IECEE-CB인증시험,CB 인증서발급,10065,25.39,13.0,36.41
CB/IECEx인증,IECEE-CB인증시험,CB 전기안전시험,7613,31.49,18.0,42.47
CB/IECEx인증,IECEE-CB인증시험,CB 전자파시험,125,50.69,28.0,57.4
CB/IECEx인증,디지털산업 일반시험,디지털산업 일반시험,1,2.0,2.0,
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,방폭기기 IECEx 사후관리(공장심사) 심사,1,29.0,29.0,
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,방폭기기 IECEx 최초 인증서발급,2,17.5,17.5,10.61
CB/IECEx인증,방폭기기 안전인증(IECEx)시험,방폭기기 IECEx 최초 제품심사(국제방폭인증),1,39.0,39.0,
CB/IECEx인증,전기용품안전인증(KC)시험,전기용품안전인증 미승인부품 전기안전시험,1,30.0,30.0,
GMP,의료기기인허가 품질경영(GMP),국산의료기기 변경GMP,14,41.71,36.5,24.81
GMP,의료기기인허가 품질경영(GMP),국산의료기기 정기GMP,61,47.8,45.0,21.56
GMP,의료기기인허가 품질경영(GMP),국산의료기기 최초GMP,39,50.77,44.0,24.78
GMP,의료기기인허가 품질경영(GMP),국산의료기기 추가GMP,17,28.59,22.0,22.23
GMP,의료기기인허가 품질경영(GMP),기타(적합인증서 대체발급|| 사전서류심사|| 부본발급),49,2.8,1.0,4.3
GMP,의료기기인허가 품질경영(GMP),수입의료기기 변경GMP,2,19.5,19.5,0.71
GMP,의료기기인허가 품질경영(GMP),수입의료기기 정기GMP,69,71.59,60.0,37.41
GMP,의료기기인허가 품질경영(GMP),수입의료기기 최초GMP,19,53.74,50.0,28.63
공산품안전인증,공산품안전인증시험,공산품안전인증서발급,2265,36.46,6.0,68.84
공산품안전인증,공산품안전인증시험,승강기안전시험(공산품),495,119.34,94.0,92.89
공산품안전인증,공산품안전인증시험,전기안전시험(공산품),556,53.68,19.5,73.24
공산품안전인증,디지털산업 일반시험,디지털산업 일반시험,1,79.0,79.0,
기간산업,KTL마크인증,KTL마크인증 SW평가 및 인증,1,28.0,28.0,
기간산업,SW시험인증,GS인증(평가및인증),29,71.0,58.0,65.97
기간산업,SW시험인증,S/W 엔지니어링,1,13.0,13.0,
기간산업,SW시험인증,S/W시험,30,14.53,12.5,8.96
기간산업,기계일반시험,기계부품,472,27.33,18.0,30.29
기간산업,기계일반시험,내지진,32,12.97,14.0,8.12
기간산업,기계일반시험,무대시설안전진단,4,15.75,0.0,31.5
기간산업,기계일반시험,소음진동,362,14.85,12.0,14.43
기간산업,기계일반시험,열유체시험,16,23.38,9.5,25.05
기간산업,기계일반시험,융합기술시험,75,10.8,4.0,23.34
기간산업,기술교육,전문기술교육,2,6.0,6.0,1.41
기간산업,기술지도,컨설팅,9,10.11,7.0,7.2
기간산업,기업 납품시험,소음진동,19,21.32,22.0,6.51
기간산업,문화설비,로봇,13,26.38,5.0,63.38
기간산업,방수방진분야 일반시험,방수방진 및 일반안전시험,1751,5.58,5.0,3.48
기간산업,방폭기기 시험,방수방진 및 내충격(IK)시험,3448,11.63,10.0,11.06
기간산업,방폭기기 안전인증(KC)시험,방폭기기 안전인증(KCs) 최초 기술및생산체계(공장심사) 심사,1,5.0,5.0,
기간산업,소음진동내지진,내지진,104,16.32,9.5,19.58
기간산업,소음진동내지진,소음진동,1259,15.72,13.0,11.9
기간산업,승강기설비,방화시험,6,34.67,46.0,19.13
기간산업,승강기설비,승강기 안전인증 최초/사후,21,46.81,13.0,67.7
기간산업,승강기안전일반시험,승강기부품평가(일반|| K마크),51,64.69,39.0,63.48
기간산업,시스템요소,항공소재,241,17.2,13.0,17.36
기간산업,신뢰성평가,국방기기 신뢰성시험,25,13.08,5.0,18.16
기간산업,신뢰성평가,선박용기기의 신뢰성시험,13,27.46,32.0,15.26
기간산업,신뢰성평가,시스템의 신뢰성시험,40,21.98,14.5,30.29
기간산업,신뢰성평가,의료기기의 신뢰성시험,2,7.0,7.0,9.9
기간산업,신뢰성평가,자동차부품 신뢰성시험,314,21.59,13.0,28.9
기간산업,신뢰성평가,전기전자부품제품 신뢰성시험,1219,18.73,11.0,29.67
기간산업,신뢰성평가,통계해석 신뢰성 시험,114,25.78,16.5,32.61
기간산업,에너지기술,열유체일반,212,14.97,10.0,18.23
기간산업,에너지효율시험,고효율기기효율등급시험,939,34.53,21.0,45.55
기간산업,에너지효율시험,에너지소비효율시험,3130,36.96,24.0,38.97
기간산업,원자력 및 제어설비평가,원자력기기검증,4,53.25,23.0,75.6
기간산업,원자력 및 제어설비평가,제어설비 신뢰성평가,18,43.78,10.0,57.87
기간산업,재료시험,고분자시험,3795,16.22,17.0,10.78
기간산업,재료시험,금속시험,2169,11.27,8.0,16.57
기간산업,재료시험,무기재료시험,206,11.53,10.0,9.18
기간산업,재료시험,어린이제품 안전시험검사,75,2.2,0.0,5.61
기간산업,재료시험,역학시험,6921,10.04,7.0,13.07
기간산업,재료시험,유해물질 분석,2827,9.65,9.0,5.47
기간산업,재료시험,일반화학시험 분석,1489,10.85,10.0,7.7
기간산업,재료시험,재료성능시험,114,18.91,12.0,29.39
기간산업,전자파일반시험,전자파 일반시험,1,0.0,0.0,
기간산업,제어설비평가,CGI 성능검증(원자력 부품 성능특성평가),5,38.4,38.0,26.88
기간산업,제어설비평가,원자력기기검증(원전제어기기 성능특성평가),2,11.5,11.5,12.02
기간산업,제어설비평가,제어설비 신뢰성평가(원전외 기타제어시스템 성능특성평가),7,7.0,3.0,9.36
기간산업,철도항공,우주기술,8,4.0,1.0,6.52
기간산업,철도항공,철도부품,2,4.5,4.5,4.95
기간산업,철도항공,항공시스템검증,1,11.0,11.0,
기간산업,표준물질,기타 화학조성,5,6.4,6.0,0.55
기업지원,ISO 인증,ISO 경영시스템인증,1,37.0,37.0,
기업지원,KAS인증시험,전자파시험(KAS),4,28.5,34.0,11.0
기업지원,KTL시험,역학(KTL시험),1,7.0,7.0,
기업지원,K마크 시험,K마크 인증서 발급,3,35.33,45.0,18.5
기업지원,K마크 시험,공장심사(K마크),27,52.63,27.0,60.36
기업지원,K마크 시험,성능시험(K마크),103,18.6,18.0,11.41
기업지원,K마크 시험,전기안전시험(K마크선택시험),25,24.52,17.0,25.96
기업지원,K마크 시험,전자파시험(K마크선택시험),4,14.25,11.5,6.65
기업지원,기술지도,컨설팅,1,4.0,4.0,
기업지원,디지털산업 일반시험,디지털산업 일반시험,165,18.15,8.0,30.08
기업지원,디지털산업 일반시험,밧데리 시험,3,66.67,55.0,47.59
기업지원,방폭기기 시험,방수방진 및 내충격(IK)시험,9,8.78,10.0,2.49
기업지원,소음진동내지진,소음진동,2,14.0,14.0,2.83
기업지원,에너지효율시험,고효율기기효율등급시험,48,23.85,11.0,43.78
기업지원,에너지효율시험,대기전력시험(절전형시험),5,8.0,8.0,0.0
기업지원,에너지효율시험,에너지소비효율시험,173,11.57,10.0,7.57
기업지원,외국인증시험,전기안전시험(CE마크|| PSE마크 등등),1622,22.22,17.0,23.17
기업지원,외국인증시험,전자파시험(CE마크|| PSE마크 등등),351,19.51,14.0,19.83
기업지원,일반시험,일반시험,44,13.05,13.0,7.12
기업지원,재료시험,금속시험,1,8.0,8.0,
기업지원,재료시험,역학시험,27,5.7,5.0,2.88
기업지원,재료시험,유해물질 분석,21,5.29,5.0,2.35
기업지원,전기용품안전인증(KC)시험,전기용품안전인증 사후관리 공장심사,1,0.0,0.0,
기업지원,전자파일반시험,전자파 일반시험,218,22.45,17.0,19.76
기업지원,정부 납품시험,기타 정부납품시험,4,22.0,21.0,3.83
기업지원,정부 납품시험,조달청 기동점검 시험,1,23.0,23.0,
기업지원,정부 납품시험,조달청 조달검사를 통한 시험(2억이상 품목 검사시험),1073,7.31,6.0,6.46
기업지원,정부 납품시험,조달청 조달등록 시험,407,15.28,13.0,16.6
